"uniprot_gn_id","external_gene_name"
"Q8VEK0","Tmem30a"
"Q91V12","Acot7"
"Q91V16","Etfrf1"
"Q91V61","Sfxn3"
"Q91V92","Acly"
"Q91VA0","Acsm1"
"Q91VA6","Poldip2"
"Q91VA7","Idh3b"
"Q91VB8","Hba-a1"
"Q91VB8","Hba-a2"
"Q91VC9","Ghitm"
"Q91VD9","Ndufs1"
"Q91VT4","Cbr4"
"Q91W97","Hkdc1"
"Q91WD5","Ndufs2"
"Q91WH2","Ugt2b38"
"Q91WK1","Spryd4"
"Q91WL5","Cyp4a12a"
"Q91WM2","Hdhd5"
"Q91WN4","Kmo"
"Q91WS0","Cisd1"
"Q91X34","Baat"
"Q91X77","Cyp2c50"
"Q91XC9","Pex16"
"Q91XE0","Glyat"
"Q91XE8","Tmem205"
"Q91XM9","Dlg2"
"Q91XV3","Basp1"
"Q91YJ5","Mtif2"
"Q91YP0","L2hgdh"
"Q91YR1","Twf1"
"Q91YY4","Atpaf2"
"Q91ZJ5","Ugp2"
"Q91ZP9","Necab2"
"Q91ZZ3","Sncb"
"Q920A7","Afg3l1"
"Q920I9","Wdr7"
"Q921C1","Gjc3"
"Q921G7","Etfdh"
"Q921H8","Acaa1a"
"Q921H9","Coa7"
"Q921I1","Trf"
"Q921M7","Fam49b"
"Q921X9","Pdia5"
"Q922B1","Macrod1"
"Q922Q1","Marc2"
"Q922S4","Pde2a"
"Q924L1","Letmd1"
"Q924T2","Mrps2"
"Q925I1","Atad3a"
"Q925N0","Sfxn5"
"Q93092","Taldo1"
"Q99J39","Mlycd"
"Q99JB2","Stoml2"
"Q99JI4","Psmd6"
"Q99JP7","Ggt7"
"Q99JR1","Sfxn1"
"Q99JY0","Hadhb"
"Q99JY8","Plpp3"
"Q99JZ4","Sar1a"
"Q99KE1","Me2"
"Q99KI0","Aco2"
"Q99KR3","Lactb2"
"Q99KR7","Ppif"
"Q99L04","Dhrs1"
"Q99L13","Hibadh"
"Q99LC3","Ndufa10"
"Q99LC5","Etfa"
"Q99LP6","Grpel1"
"Q99LY9","Ndufs5"
"Q99M73","Krt84"
"Q99M87","Dnaja3"
"Q99MN9","Pccb"
"Q99MR8","Mccc1"
"Q99N15","Hsd17b10"
"Q99N28","Cadm3"
"Q99N92","Mrpl27"
"Q99N93","Mrpl16"
"Q99N96","Mrpl1"
"Q99P30","Nudt7"
"Q99P72","Rtn4"
"Q99PG0","Aadac"
"Q99PT1","Arhgdia"
"Q99PU5","Acsbg1"
"Q9CPP6","Ndufa5"
"Q9CPQ1","Cox6c"
"Q9CPQ3","Tomm22"
"Q9CPQ8","Atp5l"
"Q9CPR5","Mrpl15"
"Q9CPU2","Ndufb2"
"Q9CPU4","Mgst3"
"Q9CPX7","Mrps16"
"Q9CPY7","Lap3"
"Q9CQ06","Mrpl24"
"Q9CQ54","Ndufc2"
"Q9CQ60","Pgls"
"Q9CQ69","Uqcrq"
"Q9CQ75","Ndufa2"
"Q9CQ91","Ndufa3"
"Q9CQ92","Fis1"
"Q9CQA6","Chchd1"
"Q9CQB4","Uqcrb"
"Q9CQC7","Ndufb4"
"Q9CQD1","Rab5a"
"Q9CQE1","Nipsnap3b"
"Q9CQE3","Mrps17"
"Q9CQF0","Mrpl11"
"Q9CQF4","1700021F05Rik"
"Q9CQJ8","Ndufb9"
"Q9CQL5","Mrpl18"
"Q9CQS4","Slc25a46"
"Q9CQS8","Sec61b"
"Q9CQV1","Pam16"
"Q9CQV1","Gm9803"
"Q9CQV5","Mrps24"
"Q9CQX2","Cyb5b"
"Q9CQX8","Mrps36"
"Q9CQZ5","Ndufa6"
"Q9CR13","Fmc1"
"Q9CR57","Rpl14"
"Q9CR61","Ndufb7"
"Q9CR68","Uqcrfs1"
"Q9CRB3","Urah"
"Q9CRB6","Tppp3"
"Q9CRB9","Chchd3"
"Q9CRC0","Vkorc1"
"Q9CRD0","Ociad1"
"Q9CVB6","Arpc2"
"Q9CW42","Marc1"
"Q9CWJ9","Atic"
"Q9CWS0","Ddah1"
"Q9CWZ7","Napg"
"Q9CX34","Sugt1"
"Q9CXI0","Coq5"
"Q9CXJ4","Abcb8"
"Q9CXU4","Timm23"
"Q9CXW2","Mrps22"
"Q9CY16","Mrps28"
"Q9CY27","Tecr"
"Q9CY64","Blvra"
"Q9CYT6","Cap2"
"Q9CYW4","Hdhd3"
"Q9CZ86","Zfp248"
"Q9CZC8","Scrn1"
"Q9CZL5","Pcbd2"
"Q9CZP5","Bcs1l"
"Q9CZS1","Aldh1b1"
"Q9CZU6","Cs"
"Q9D023","Mpc2"
"Q9D051","Pdhb"
"Q9D0F3","Lman1"
"Q9D0G0","Mrps30"
"Q9D0K2","Oxct1"
"Q9D0M3","Cyc1"
"Q9D0M5","Dynll2"
"Q9D172","Gatd3a"
"Q9D1B9","Mrpl28"
"Q9D1G3","Hhatl"
"Q9D1N9","Mrpl21"
"Q9D1R1","Tmem126b"
"Q9D2G2","Dlst"
"Q9D2R6","Coa3"
"Q9D387","Lamp5"
"Q9D394","Rufy3"
"Q9D3A9","Ttyh1"
"Q9D3B1","Hacd2"
"Q9D6F9","Tubb4a"
"Q9D6J5","Ndufb8"
"Q9D6J6","Ndufv2"
"Q9D6K5","Synj2bp"
"Q9D6K5","Gm20498"
"Q9D6K8","Fundc2"
"Q9D6M3","Slc25a22"
"Q9D6R2","Idh3a"
"Q9D6S7","Mrrf"
"Q9D6U8","Fam162a"
"Q9D7A8","Armc1"
"Q9D7J4","Cox20"
"Q9D7J9","Echdc3"
"Q9D7N3","Mrps9"
"Q9D7P6","Iscu"
"Q9D880","Timm50"
"Q9D8W7","Ociad2"
"Q9D8Y1","Tmem126a"
"Q9D938","Tmem160"
"Q9D9V3","Echdc1"
"Q9DAS9","Gng12"
"Q9DAW9","Cnn3"
"Q9DB20","Atp5o"
"Q9DB41","Slc25a18"
"Q9DB60","Prxl2b"
"Q9DB72","Btbd17"
"Q9DB73","Cyb5r1"
"Q9DB77","Uqcrc2"
"Q9DBF1","Aldh7a1"
"Q9DBG1","Cyp27a1"
"Q9DBG3","Ap2b1"
"Q9DBG5","Plin3"
"Q9DBL7","Coasy"
"Q9DBM2","Ehhadh"
"Q9DBN5","Lonp2"
"Q9DC07","Nebl"
"Q9DC50","Crot"
"Q9DC69","Ndufa9"
"Q9DC70","Ndufs7"
"Q9DC71","Mrps15"
"Q9DCJ5","Ndufa8"
"Q9DCM0","Ethe1"
"Q9DCM2","Gstk1"
"Q9DCN2","Cyb5r3"
"Q9DCS3","Mecr"
"Q9DCS9","Ndufb10"
"Q9DCT2","Ndufs3"
"Q9DCU2","Pllp"
"Q9DCU6","Mrpl4"
"Q9DCU9","Hoga1"
"Q9DCV4","Rmdn1"
"Q9DCW4","Etfb"
"Q9DCX2","Atp5h"
"Q9DCY0","Keg1"
"Q9DD18","Dtd1"
"Q9DD20","Mettl7b"
"Q9EPN1","Nbea"
"Q9EQ20","Aldh6a1"
"Q9EQF6","Dpysl5"
"Q9ER88","Dap3"
"Q9ERD7","Tubb3"
"Q9ERS2","Ndufa13"
"Q9ES97","Rtn3"
"Q9ESW4","Agk"
"Q9JHI5","Ivd"
"Q9JHU4","Dync1h1"
"Q9JIA1","Lgi1"
"Q9JIK9","Mrps34"
"Q9JIS5","Sv2a"
"Q9JIZ0","Nat8f1"
"Q9JJL8","Sars2"
"Q9JJV2","Pfn2"
"Q9JK42","Pdk2"
"Q9JKC6","Cend1"
"Q9JKD3","Scamp5"
"Q9JKR6","Hyou1"
"Q9JM62","Reep6"
"Q9JM76","Arpc3"
"Q9QUM9","Psma6"
"Q9QUP5","Hapln1"
"Q9QXY6","Ehd3"
"Q9QYG0","Ndrg2"
"Q9QYR6","Map1a"
"Q9QYR9","Acot2"
"Q9QYS2","Grm3"
"Q9QYX7","Pclo"
"Q9QZD8","Slc25a10"
"Q9QZM0","Ubqln2"
"Q9R0A0","Pex14"
"Q9R0H0","Acox1"
"Q9R0N5","Syt5"
"Q9R0P9","Uchl1"
"Q9R0Q6","Arpc1a"
"Q9R0X4","Acot9"
"Q9R0Y5","Ak1"
"Q9R1P3","Psmb2"
"Q9R1Q8","Tagln3"
"Q9R1V7","Adam23"
"Q9WTL7","Lypla2"
"Q9WTP6","Ak2"
"Q9WTP7","Ak3"
"Q9WTR1","Trpv2"
"Q9WU78","Pdcd6ip"
"Q9WU79","Prodh"
"Q9WUB3","Pygm"
"Q9WUG6","Insl5"
"Q9WUM5","Suclg1"
"Q9WUZ9","Entpd5"
"Q9WV27","Atp1a4"
"Q9WV34","Mpp2"
"Q9WV55","Vapa"
"Q9WV92","Epb41l3"
"Q9WVL0","Gstz1"
"Q9Z0E0","Ncdn"
"Q9Z0V2","Kcnd2"
"Q9Z1P6","Ndufa7"
"Q9Z1W8","Atp12a"
"Q9Z211","Pex11a"
"Q9Z239","Fxyd1"
"Q9Z268","Rasal1"
"Q9Z2I0","Letm1"
"Q9Z2I8","Suclg2"
"Q9Z2I9","Sucla2"
"Q9Z2Q6","Sept5"
"S4R1C4","Atp2b2"
"S4R1W1","Gm3839"
"V9GXI7","Mrpl20"
"Z4YKT6","Dhrs7b"
