"uniprot_gn_id","external_gene_name"
"P52760","Rida"
"P53395","Dbt"
"P54071","Idh2"
"P54869","Hmgcs2"
"P56135","Atp5j2"
"P56213","Gfer"
"P56375","Acyp2"
"P56376","Acyp1"
"P56379","Atp5mpl"
"P56391","Cox6b1"
"P56480","Atp5b"
"P56593","Cyp2a12"
"P58281","Opa1"
"P60335","Pcbp1"
"P60469","Ppfia3"
"P60487","Pdxp"
"P60603","Romo1"
"P60766","Cdc42"
"P60879","Snap25"
"P60904","Dnajc5"
"P61082","Ube2m"
"P61164","Actr1a"
"P61264","Stx1b"
"P61804","Dad1"
"P61922","Abat"
"P62075","Timm13"
"P62141","Ppp1cb"
"P62631","Eef1a2"
"P62774","Mtpn"
"P62814","Atp6v1b2"
"P62830","Rpl23"
"P63038","Hspd1"
"P63085","Mapk1"
"P63101","Ywhaz"
"P63137","Gabrb2"
"P63141","Kcna2"
"P63213","Gng2"
"P63216","Gng3"
"P67778","Phb"
"P68134","Acta1"
"P68181","Prkacb"
"P68368","Tuba4a"
"P68369","Tuba1a"
"P68372","Tubb4b"
"P68404","Prkcb"
"P68510","Ywhah"
"P70227","Itpr3"
"P70245","Ebp"
"P80316","Cct5"
"P82349","Sgcb"
"P82350","Sgca"
"P84075","Hpca"
"P84084","Arf5"
"P85094","Isoc2a"
"P97300","Nptn"
"P97427","Crmp1"
"P97450","Atp5j"
"P97478","Coq7"
"P97807","Fh1"
"P97872","Fmo5"
"P99024","Tubb5"
"P99026","Psmb4"
"P99028","Uqcrh"
"Q00897","Serpina1d"
"Q01853","Vcp"
"Q02257","Jup"
"Q03265","Atp5a1"
"Q04447","Ckb"
"Q05421","Cyp2e1"
"Q07417","Acads"
"Q08189","Tgm3"
"Q0PD35","Rab21"
"Q0PD38","Rab18"
"Q0PD50","Rab8a"
"Q0PD53","Rab6b"
"Q0PD63","Rab3a"
"Q0PD65","Rab2a"
"Q0VE46","Myadm"
"Q0VGQ1","Hsd17b12"
"Q11011","Npepps"
"Q149B8","Perm1"
"Q14AI7","Cops4"
"Q14BI2","Grm2"
"Q14BR4","Arf4"
"Q14BZ3","Lxn"
"Q14C51","Ptcd3"
"Q14DH7","Acss3"
"Q1MXF8","Scn2b"
"Q2NKI4","Prkcg"
"Q2TPA8","Hsdl2"
"Q2UZW7","Mapre3"
